date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,adjust,source,symbol,name,sector
2025-01-22,44.63,44.03,44.84,43.84,210751,939501099.0,2.24,-1.56,-0.7,0.33,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-23,44.15,43.56,44.42,43.37,286082,1264462646.0,2.38,-1.07,-0.47,0.45,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-24,43.47,44.24,44.75,43.42,350461,1569811205.0,3.05,1.56,0.68,0.55,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-01-27,44.4,44.25,44.78,44.18,193068,864900093.0,1.36,0.02,0.01,0.3,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-05,44.27,43.61,44.4,43.47,274407,1209865781.0,2.1,-1.45,-0.64,0.43,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-06,43.73,43.96,44.15,43.27,252177,1113529253.0,2.02,0.8,0.35,0.4,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-07,43.96,44.89,45.93,43.6,505422,2283393395.0,5.3,2.12,0.93,0.79,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-10,45.1,44.48,45.1,44.27,378892,1702769263.0,1.85,-0.91,-0.41,0.59,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-11,44.6,43.79,44.7,43.65,310678,1376208094.0,2.36,-1.55,-0.69,0.49,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-12,43.8,44.04,44.15,43.62,251757,1113067394.0,1.21,0.57,0.25,0.39,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-13,43.9,44.24,44.66,43.66,378625,1692124022.0,2.27,0.45,0.2,0.59,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-14,44.22,45.1,45.37,44.16,522174,2363013539.0,2.74,1.94,0.86,0.82,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-17,45.4,44.86,45.91,44.55,557653,2543137861.0,3.02,-0.53,-0.24,0.87,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-18,44.91,44.42,45.37,44.26,350219,1582024379.0,2.47,-0.98,-0.44,0.55,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-19,44.34,44.31,44.78,43.8,367611,1642055731.0,2.21,-0.25,-0.11,0.58,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-20,44.35,46.1,46.58,44.35,854058,3962875924.0,5.03,4.04,1.79,1.34,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-21,46.3,47.88,48.08,46.13,975118,4658378219.0,4.23,3.86,1.78,1.53,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-24,48.0,47.69,48.25,47.2,533081,2562457640.0,2.19,-0.4,-0.19,0.84,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-25,47.24,46.97,47.85,46.77,354332,1689640415.0,2.26,-1.51,-0.72,0.56,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-26,47.2,47.15,47.34,46.55,328113,1551997435.0,1.68,0.38,0.18,0.51,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-27,47.0,47.51,47.96,46.79,369081,1768169581.0,2.48,0.76,0.36,0.58,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-02-28,47.31,45.56,47.7,45.41,491615,2294571489.0,4.82,-4.1,-1.95,0.77,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-03,45.55,45.52,46.41,45.37,318946,1476382971.0,2.28,-0.09,-0.04,0.5,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-04,45.41,45.46,45.69,44.98,243337,1113598159.0,1.56,-0.13,-0.06,0.38,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-05,45.46,45.58,45.72,45.06,252670,1157331477.0,1.45,0.26,0.12,0.4,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-06,45.9,46.12,46.46,45.65,331389,1539946176.0,1.78,1.18,0.54,0.52,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-07,46.0,45.28,46.0,45.12,336614,1544840662.0,1.91,-1.82,-0.84,0.53,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-10,45.42,45.09,45.76,44.6,343606,1561460747.0,2.56,-0.42,-0.19,0.54,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-11,44.65,44.94,45.09,44.55,291535,1317152158.0,1.2,-0.33,-0.15,0.46,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-12,44.98,44.6,45.39,44.55,339551,1533371103.0,1.87,-0.76,-0.34,0.53,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-13,44.65,44.63,44.88,44.37,243349,1095003467.0,1.14,0.07,0.03,0.38,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-14,44.72,46.14,46.47,44.48,573207,2648874641.0,4.46,3.38,1.51,0.9,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-17,46.92,46.08,46.95,45.98,277431,1295638303.0,2.1,-0.13,-0.06,0.43,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-18,46.48,46.1,47.08,46.02,308309,1443933601.0,2.3,0.04,0.02,0.48,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-19,46.12,46.89,47.72,45.9,485162,2295409175.0,3.95,1.71,0.79,0.76,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-20,46.8,46.23,47.07,46.08,325188,1521454257.0,2.11,-1.41,-0.66,0.51,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-21,46.0,44.45,46.23,44.43,541538,2458827778.0,3.89,-3.85,-1.78,0.85,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-24,44.46,43.95,44.64,43.8,327076,1454999354.0,1.89,-1.12,-0.5,0.51,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-25,44.07,44.47,44.62,43.83,229105,1026660592.0,1.8,1.18,0.52,0.36,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
2025-03-26,45.8,45.83,46.54,45.67,611036,2832596084.0,1.96,3.06,1.36,0.96,qfq,stock_zh_a_hist,600276,恒瑞医药,创新药
