source,variant,top_k,min_probability,year,periods,total_return,benchmark_total_return,excess_total_return,max_drawdown,win_rate,avg_turnover,avg_selected_count
walk_forward,lightgbm_financial,5,0.0,2025,48,0.19048145384153137,0.1471066350962431,0.04337481874528826,-0.1526430691485806,0.5208333333333334,0.5416666666666666,5.0
walk_forward,lightgbm_market,5,0.0,2025,48,0.14655896582221795,0.1471066350962431,-0.0005476692740251643,-0.1512522542868917,0.625,0.6583333333333333,5.0
walk_forward,lightgbm_valuation,3,0.0,2025,48,0.13684116223017018,0.1471066350962431,-0.010265472866072933,-0.16435891381948697,0.5208333333333334,0.8888888888888888,3.0
walk_forward,lightgbm_valuation,2,0.0,2025,48,0.08702767685434343,0.1471066350962431,-0.06007895824189968,-0.20255891373164936,0.5,0.9791666666666666,2.0
walk_forward,lightgbm_market,1,0.0,2025,48,0.0711786674806385,0.1471066350962431,-0.07592796761560461,-0.2567503200880218,0.4791666666666667,1.5833333333333333,1.0
walk_forward,lightgbm_financial,2,0.0,2025,48,0.060208934773799516,0.1471066350962431,-0.0868977003224436,-0.20306714435251738,0.4791666666666667,1.0208333333333333,2.0
walk_forward,lightgbm_financial,1,0.0,2025,48,0.008274962681470432,0.1471066350962431,-0.13883167241477268,-0.1859484619076548,0.5,1.125,1.0
walk_forward,lightgbm_market,3,0.0,2025,48,-0.012545209715599248,0.1471066350962431,-0.15965184481184236,-0.2126879614290158,0.5,0.9027777777777777,3.0
walk_forward,lightgbm_market,2,0.0,2025,48,-0.12517923823216204,0.1471066350962431,-0.27228587332840515,-0.20786013900839495,0.5208333333333334,1.1458333333333333,2.0
walk_forward,lightgbm_valuation,1,0.0,2025,48,-0.14846931692711718,0.1471066350962431,-0.2955759520233603,-0.29808391410668145,0.4583333333333333,1.2083333333333333,1.0
walk_forward,lightgbm_valuation,1,0.0,2026,20,-0.12758226523266192,-0.19794754869159525,0.07036528345893334,-0.1372130912451982,0.4,0.7,1.0
walk_forward,lightgbm_valuation,5,0.0,2026,20,-0.17325164212845034,-0.19794754869159525,0.02469590656314491,-0.20330110941591295,0.4,0.4800000000000001,5.0
walk_forward,lightgbm_financial,5,0.0,2026,20,-0.17607562479384398,-0.19794754869159525,0.021871923897751278,-0.2060224499969091,0.5,0.4800000000000001,5.0
walk_forward,lightgbm_financial,2,0.0,2026,20,-0.1827271176214924,-0.19794754869159525,0.015220431070102847,-0.21561560552475278,0.45,0.95,2.0
walk_forward,lightgbm_valuation,3,0.0,2026,20,-0.1964759543739374,-0.19794754869159525,0.001471594317657865,-0.2085468726416153,0.4,0.4999999999999999,3.0
walk_forward,lightgbm_financial,3,0.0,2026,20,-0.19888969810230595,-0.19794754869159525,-0.0009421494107106909,-0.22792178304799315,0.4,0.5999999999999999,3.0
walk_forward,lightgbm_market,3,0.0,2026,20,-0.22010306524886114,-0.19794754869159525,-0.022155516557265886,-0.2406653170351587,0.45,0.8333333333333334,3.0
walk_forward,lightgbm_market,1,0.0,2026,20,-0.22332081280320826,-0.19794754869159525,-0.025373264111613003,-0.21895811010777755,0.4,1.0,1.0
walk_forward,lightgbm_valuation,2,0.0,2026,20,-0.2234932154741326,-0.19794754869159525,-0.025545666782537335,-0.2283122785424988,0.35,0.9,2.0
walk_forward,lightgbm_market,5,0.0,2026,20,-0.2248685218704155,-0.19794754869159525,-0.02692097317882025,-0.24356937087123187,0.4,0.5200000000000001,5.0
walk_forward,lightgbm_financial,1,0.0,2026,20,-0.24205770360188983,-0.19794754869159525,-0.044110154910294574,-0.26657493956742817,0.4,0.9,1.0
walk_forward,lightgbm_market,2,0.0,2026,20,-0.24411210868828503,-0.19794754869159525,-0.04616455999668978,-0.2618184283137913,0.3,0.8,2.0
