date,csi_pharma_open,csi_pharma_close,csi_pharma_high,csi_pharma_low,csi_pharma_volume,csi_pharma_amount,csi_pharma_amplitude,csi_pharma_pct_change,csi_pharma_change,csi_pharma_turnover,csi_pharma_source
2024-12-02,8117.18,8192.05,8219.43,8085.18,11830150,32515082856.6,1.65,0.93,75.88,1.19,index_zh_a_hist
2024-12-03,8179.54,8161.2,8184.37,8115.95,9611770,27623418295.6,0.84,-0.38,-30.85,0.97,index_zh_a_hist
2024-12-04,8139.48,8059.38,8139.48,8030.42,9198837,24381142710.3,1.34,-1.25,-101.82,0.93,index_zh_a_hist
2024-12-05,8043.14,8022.55,8055.51,7984.14,7214717,20476229049.3,0.89,-0.46,-36.83,0.73,index_zh_a_hist
2024-12-06,8030.82,8197.38,8241.76,8030.82,12343177,35718767919.2,2.63,2.18,174.83,1.24,index_zh_a_hist
2024-12-09,8291.15,8192.39,8305.36,8164.24,11994009,35275561577.5,1.72,-0.06,-4.99,1.21,index_zh_a_hist
2024-12-10,8426.97,8193.09,8439.18,8175.43,15802628,46695334538.1,3.22,0.01,0.7,1.59,index_zh_a_hist
2024-12-11,8169.94,8227.91,8239.18,8169.94,10547727,28678129072.6,0.85,0.42,34.82,1.06,index_zh_a_hist
2024-12-12,8218.71,8289.34,8295.79,8188.44,12896954,35192513970.0,1.3,0.75,61.43,1.3,index_zh_a_hist
2024-12-13,8249.66,8098.71,8249.66,8098.49,15955115,44547143183.8,1.82,-2.3,-190.63,1.61,index_zh_a_hist
2024-12-16,8090.8,8006.28,8104.85,7981.19,12078684,33212937197.8,1.53,-1.14,-92.43,1.22,index_zh_a_hist
2024-12-17,7996.46,7961.5,8039.78,7947.63,9303353,24292178649.3,1.15,-0.56,-44.78,0.94,index_zh_a_hist
2024-12-18,7978.05,7975.79,8006.69,7966.34,7160429,19378659380.0,0.51,0.18,14.29,0.72,index_zh_a_hist
2024-12-19,7919.14,7965.25,7978.12,7896.82,8158223,22004656385.1,1.02,-0.13,-10.54,0.82,index_zh_a_hist
2024-12-20,7960.92,7963.05,8031.21,7951.77,7979022,23180866669.0,1.0,-0.03,-2.2,0.8,index_zh_a_hist
