date,close,volume,source
2024-01-31,107.06,48370.0,stock_zh_a_hist_tx
2024-02-01,107.45,40526.0,stock_zh_a_hist_tx
2024-02-02,104.11,59488.0,stock_zh_a_hist_tx
2024-02-05,103.51,72977.0,stock_zh_a_hist_tx
2024-02-06,111.8,76558.0,stock_zh_a_hist_tx
2024-02-07,112.31,70758.0,stock_zh_a_hist_tx
2024-02-08,112.94,58564.0,stock_zh_a_hist_tx
2024-02-19,114.58,49396.0,stock_zh_a_hist_tx
2024-02-20,115.81,46357.0,stock_zh_a_hist_tx
2024-02-21,116.69,56830.0,stock_zh_a_hist_tx
2024-02-22,118.29,37276.0,stock_zh_a_hist_tx
2024-02-23,117.73,31220.0,stock_zh_a_hist_tx
2024-02-26,118.01,39942.0,stock_zh_a_hist_tx
2024-02-27,119.16,36135.0,stock_zh_a_hist_tx
2024-02-28,118.66,67544.0,stock_zh_a_hist_tx
2024-02-29,121.31,43566.0,stock_zh_a_hist_tx
2024-03-01,121.91,32585.0,stock_zh_a_hist_tx
2024-03-04,123.34,46722.0,stock_zh_a_hist_tx
2024-03-05,123.4,46291.0,stock_zh_a_hist_tx
2024-03-06,121.95,35815.0,stock_zh_a_hist_tx
2024-03-07,117.9,49052.0,stock_zh_a_hist_tx
2024-03-08,118.41,27646.0,stock_zh_a_hist_tx
2024-03-11,120.7,37680.0,stock_zh_a_hist_tx
2024-03-12,123.32,53185.0,stock_zh_a_hist_tx
2024-03-13,121.1,43387.0,stock_zh_a_hist_tx
2024-03-14,120.82,57879.0,stock_zh_a_hist_tx
2024-03-15,121.12,43828.0,stock_zh_a_hist_tx
2024-03-18,123.37,46687.0,stock_zh_a_hist_tx
2024-03-19,125.31,62091.0,stock_zh_a_hist_tx
2024-03-20,121.9,107692.0,stock_zh_a_hist_tx
2024-03-21,120.93,61956.0,stock_zh_a_hist_tx
2024-03-22,118.76,43993.0,stock_zh_a_hist_tx
2024-03-25,115.99,47145.0,stock_zh_a_hist_tx
2024-03-26,115.31,44957.0,stock_zh_a_hist_tx
2024-03-27,113.48,30706.0,stock_zh_a_hist_tx
2024-03-28,114.2,32120.0,stock_zh_a_hist_tx
2024-03-29,113.0,33263.0,stock_zh_a_hist_tx
2024-04-01,116.57,44280.0,stock_zh_a_hist_tx
2024-04-02,116.01,29955.0,stock_zh_a_hist_tx
2024-04-03,115.71,24096.0,stock_zh_a_hist_tx
2024-04-08,112.2,36626.0,stock_zh_a_hist_tx
2024-04-09,113.93,27009.0,stock_zh_a_hist_tx
2024-04-10,110.89,35541.0,stock_zh_a_hist_tx
2024-04-11,110.51,26776.0,stock_zh_a_hist_tx
